"标识","编码","名称","上级"
"113010000","11301","低频电缆","电缆"
"303040900","3030409","排队机","电话业务计算机综合管理系统"
"303041100","3030411","演示系统","电话业务计算机综合管理系统"
"303041200","3030412","集线器","电话业务计算机综合管理系统"
"303050600","3030506","近节点中央控制系统","其它附属设备"
"303050700","3030507","桥路器","其它附属设备"
"303051000","3030510","程控交换机工作站","其它附属设备"
"303051100","3030511","一次群转换设备","其它附属设备"
"304010102","304010102","信令板","高级信令转接点（HSTP）设备"
"304010104","304010104","链路板","高级信令转接点（HSTP）设备"
"304010105","304010105","控制板","高级信令转接点（HSTP）设备"
"304010200","3040102","低级信令转接点（LSTP）设备","信令转接点（STP）设备"
"304010205","304010205","控制板","低级信令转接点（LSTP）设备"
"304020000","30402","信令监控网管系统","信令网"
"304020200","3040202","信令操作维护终端","信令监控网管系统"
"304020501","304020501","信令采集器","信令测试仪"
"304030100","3040301","IVF/EM信令转换设备","其它信令设备"
"304030200","3040302","信令链路接口机架","其它信令设备"
"305000000","305","智能网设备","交换设备"
"305010102","305010102","路由器板卡","SDP路由器"
"305010200","3050102","SDP服务器","智能业务数据点（SDP）"
"305010300","3050103","SDP工作站","智能业务数据点（SDP）"
"305010500","3050105","SDP调制解调器","智能业务数据点（SDP）"
"305010600","3050106","SDP集线器","智能业务数据点（SDP）"
"305020101","305020101","路由器机框","SCP路由器"
"305020200","3050202","SCP服务器","智能业务控制点（SCP）"
"305020400","3050204","SCP计算机","智能业务控制点（SCP）"
"305020700","3050207","SCP磁盘阵列","智能业务控制点（SCP）"
"305030100","3050301","SMP路由器","智能业务管理点（SMP）"
"305030200","3050302","SMP服务器","智能业务管理点（SMP）"
"305030900","3050309","SMP告警显示设备","智能业务管理点（SMP）"
"305031200","3050312","防火墙","智能业务管理点（SMP）"
"305050100","3050501","SSP交换设备","智能业务交换点（SSP）"
"305050102","305050102","信令板","SSP交换设备"
"305050104","305050104","网络板","SSP交换设备"
"305050300","3050503","SSP计费采集器","智能业务交换点（SSP）"
"305070100","3050701","200业务设备","智能网业务平台"
"305070200","3050702","201业务设备","智能网业务平台"
"305080400","3050804","接口（板）设备","智能IP外设"
"305090000","30509","智能网网管设备","智能网设备"
"305100100","3051001","服务器","智能业务管理控制点（SMCP）"
"305100300","3051003","磁盘阵列","智能业务管理控制点（SMCP）"
"305110000","30511","智能业务交接接入点（SSAP）","智能网设备"
"305120100","3051201","AS设备","AS设备"
"306020000","30602","其它配套设备","配套设备"
"307010000","30701","软交换设备","软交换系统设备"
"307010200","3070102","网首设备（GK）","软交换设备"
"307010400","3070104","网络地址穿越设备（NAT）","软交换设备"
"307030100","3070301","接入网关（AG）","软交换接入设备"
"307030200","3070302","综合接入设备（IAD）","软交换接入设备"
"307050300","3070503","计费网关（CG）","软交换支撑设备"
"307060100","3070601","路由服务器（RS）","软交换路由设备"
"308000000","308","IP多媒体子系统（IMS）设备","交换设备"
"308010000","30801","用户信息存储服务器","IP多媒体子系统（IMS）设备"
"308020200","3080202","锚定服务器（CAS）","IMS应用设备"
"306020200","3060202","VGA分配器（分屏器）","其它配套设备"
"307010300","3070103","会话初始协议（SIP）服务器","软交换设备"
"307030000","30703","软交换接入设备","软交换系统设备"
"307050100","3070501","软交换网管系统","软交换支撑设备"
"307060200","3070602","防火墙","软交换路由设备"
"308010100","3080101","归属用户服务器（HSS）","用户信息存储服务器"
"304010000","30401","信令转接点（STP）设备","信令网"
"305120000","30512","AS设备","智能网设备"
"301020600","3010206","网管服务器","长途/本地电话网管系统"
"302020100","3020201","信令处理设备","固网智能化设备"
"302030400","3020304","集中监控协议转换器","本地电话网集中监控管理系统"
